decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
,Schofrulade Erdbeere,3.89,1,7.0,search#1 name:erdbeere+schofrulade,"Schofrulade Erdbeere, tielfgekühlt",Oswald,"0,13 l (23,00 € / 1 l)",2.99,5901122237129,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-desserts/5901122237129/schofrulade-erdbeere-tielfgekuehlt
,Snack Minis 300g,2.99,1,7.67,search#1 name:minis+snack size:300g,"Waffeln Snack minis, Milch-Haselnuss",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607702,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607702/waffeln-snack-minis-milch-haselnuss
,Snack Minis 300g,2.99,2,7.37,search#2 name:minis+snack size:300g,"Waffeln Snack minis, Milch-Schoko",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607719,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607719/waffeln-snack-minis-milch-schoko
,Snack Minis Schoko 3,2.99,1,7.0,search#1 name:minis+schoko+snack,"Waffeln Snack minis, Milch-Schoko",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607719,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607719/waffeln-snack-minis-milch-schoko
,Snack Minis Schoko 3,2.99,2,2.7,search#2,Mini Erdnuss-Karamell-Schokoriegel,Snickers,"0,15 kg (13,27 € / 1 kg)",1.99,5000159560061,https://produkte.globus.de/suesses-salziges/schokolade/schokoriegel/5000159560061/mini-erdnuss-karamell-schokoriegel
,Snack Minis Schoko 3,2.99,3,2.4,search#3,"Mini Schokowürfel, Herzbox",Ritter Sport,"0,12 kg (41,93 € / 1 kg)",4.99,4000417600103,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/gebaeckstangen-grissini/4000417600103/mini-schokowuerfel-herzbox
,T?rt SchokBrownie 40,2.99,-,,no candidate,,,,,,
,Tempo Box Duo,3.69,1,7.37,search#2 name:box+duo brand:tempo,"Taschentücher-Box Duo, Original",Tempo,"200 Stk (0,02 € / 1 Stk)",,7322541402826,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/7322541402826/taschentuecher-box-duo-original
,Tempo Box Duo,3.69,2,5.67,search#1 name:box+duo,Taschentücher-Box Duo,Kleenex,"144 Stk (0,02 € / 1 Stk)",2.99,5029053579375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053579375/taschentuecher-box-duo
,Valle Secreto Verdot,7.0,-,,no candidate,,,,,,
,ff Cracker Chilli NP,1.25,1,6.1,search#4 name:chilli+cracker,Snap'd Cheese & Chilli Cracker,Cheez-It,"0,12 kg (8,25 € / 1 kg)",0.99,5053990177806,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/5053990177806/snap-d-cheese-chilli-cracker
,ff Cracker Chilli NP,1.25,2,5.0,search#1 name:cracker,"Tuc Cracker, Chili",TUC,"0,1 kg (12,90 € / 1 kg)",1.29,7622210998477,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/salzstangen-brezeln/7622210998477/tuc-cracker-chili
,ff Cracker Chilli NP,1.25,3,4.7,search#2 name:cracker,Cheese Cracker Chili Cheese Style,funny-frisch,"0,1 kg (14,90 € / 1 kg)",1.49,4003586105455,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4003586105455/cheese-cracker-chili-cheese-style
